pref,dog,cat,type
愛知県,254,340,県
愛媛県,761,1,620,県
茨城県,583,1,600,県
岡山県,14,17,県
沖縄県,565,737,県
岩手県,41,350,県
岐阜県,53,668,県
宮崎県,214,335,県
宮城県,108,1,483,県
熊本県,164,436,県
群馬県,226,1,567,県
広島県,95,291,県
香川県,1,573,688,県
高知県,66,503,県
佐賀県,54,600,県
埼玉県,274,570,県
三重県,81,523,県
山形県,11,659,県
山口県,142,836,県
山梨県,87,691,県
滋賀県,124,555,県
鹿児島県,344,635,県
秋田県,71,431,県
新潟県,7,356,県
青森県,124,519,県
静岡県,48,685,県
石川県,16,311,県
千葉県,171,734,県
大分県,246,1,225,県
長崎県,512,1,074,県
長野県,16,377,県
鳥取県,17,416,県
島根県,35,348,県
徳島県,551,294,県
栃木県,275,57,県
奈良県,194,1,249,県
富山県,8,200,県
兵庫県,249,1,431,県
和歌山県,145,1,558,県
神奈川県,10,29,県
福井県,6,121,県
福岡県,352,1,217,県
福島県,189,2,057,県
いわき市,19,169,市
さいたま市,13,16,市
旭川市,6,87,市
宇都宮市,20,125,市
越谷市,1,13,市
横須賀市,3,20,市
横浜市,36,420,市
岡崎市,10,176,市
岡山市,9,1,市
下関市,41,685,市
岐阜市,4,276,市
久留米市,25,245,市
宮崎市,12,36,市
金沢市,1,18,市
熊本市,10,17,市
郡山市,21,157,市
呉市,7,2,市
広島市,4,15,市
高崎市,12,94,市
高松市,265,333,市
高知市,20,378,市
高槻市,7,44,市
佐世保市,19,701,市
堺市,21,68,市
札幌市,4,91,市
鹿児島市,31,604,市
秋田市,5,25,市
松山市,0,478,市
新潟市,4,435,市
盛岡市,2,8,市
西宮市,2,23,市
青森市,8,102,市
静岡市,4,482,市
仙台市,2,267,市
千葉市,1,17,市
川越市,1,2,市
川崎市,1,44,市
船橋市,3,34,市
前橋市,36,124,市
倉敷市,24,109,市
相模原市,0,0,市
大阪市,38,1,026,市
大津市,16,142,市
大分市,24,454,市
長崎市,3,965,市
長野市,2,5,市
東大阪市,14,358,市
奈良市,7,101,市
那覇市,18,99,市
尼崎市,1,161,市
柏市,7,59,市
函館市,20,270,市
八王子市,0,18,市
八戸市,1,2,市
姫路市,131,168,市
浜松市,13,283,市
富山市,15,167,市
豊橋市,7,51,市
豊中市,1,46,市
豊田市,14,122,市
北九州市,11,5,市
枚方市,0,8,市
名古屋市,0,268,市
和歌山市,42,399,市
神戸市,15,406,市
福岡市,10,238,市
福山市,31,209,市
京都市,25,868,市
北海道,76,410,道
大阪府,49,581,府
京都府,38,124,府
東京都,5,227,都
